raw_name,pdf_name,include,clean_geography,clean_level,clean_name,clean_description,sort_order,incumbent
CUDAHY CITY GENERAL MUNICIPAL ELECTION Member of the City Council,CUDAHY CITY GENERAL MUNICIPAL ELECTION Member of the City Council,No,Cudahy,,City Council,,,BLANCA LOZOYA
CULVER CITY GENERAL MUNICIPAL ELECTION Member of the City Council,CULVER CITY GENERAL MUNICIPAL ELECTION Member of the City Council,No,Culver City,,City Council,,,"HARDEN ALEXANDER ""ALEX"" FISCH"
EL SEGUNDO CITY GENERAL MUNICIPAL ELECTION Member of the City Council,EL SEGUNDO CITY GENERAL MUNICIPAL ELECTION Member of the City Council,No,El Segundo,,City Council,,,CHRISTOPHER PIMENTEL
HAWAIIAN GARDENS CITY GENERAL MUNICIPAL ELECTION Member of the City Council,HAWAIIAN GARDENS CITY GENERAL MUNICIPAL ELECTION Member of the City Council,No,Hawaiian Gardens,,City Council,,,"LUIS ROA,MARIA TERESA DEL RIO,JESSE ALVARADO"
"HAWAIIAN GARDENS CITY GENERAL MUNICIPAL ELECTION Member of the City Council (Unexpired term ending November 5, 2024)","HAWAIIAN GARDENS CITY GENERAL MUNICIPAL ELECTION Member of the City Council (Unexpired term ending November 5, 2024)",No,Hawaiian Gardens,,City Council,"Unexpired term ending November 5, 2024",,MICHAEL GOMEZ
HAWTHORNE CITY GENERAL MUNICIPAL ELECTION Member of the City Council,HAWTHORNE CITY GENERAL MUNICIPAL ELECTION Member of the City Council,No,Hawthorne,,City Council,,,"ALEXANDRE ""ALEX"" MONTEIRO"
HERMOSA BEACH CITY GENERAL MUNICIPAL ELECTION Member of the City Council,HERMOSA BEACH CITY GENERAL MUNICIPAL ELECTION Member of the City Council,No,Hermosa Beach,,City Council,,,RAYMOND A. JACKSON
HIDDEN HILLS CITY GENERAL MUNICIPAL ELECTION Member of the City Council,HIDDEN HILLS CITY GENERAL MUNICIPAL ELECTION Member of the City Council,No,Hidden Hills,,City Council,,,"LARRY G. WEBER,LAURA MCCORKINDALE"
IRWINDALE CITY GENERAL MUNICIPAL ELECTION Member of the City Council,IRWINDALE CITY GENERAL MUNICIPAL ELECTION Member of the City Council,No,Irwindale,,City Council,,,"ALBERT F. ""ALBIE"" AMBRIZ,HECTOR ""MANUEL"" ORTIZ"
LA PUENTE CITY GENERAL MUNICIPAL ELECTION Member of the City Council,LA PUENTE CITY GENERAL MUNICIPAL ELECTION Member of the City Council,No,La Puente,,City Council,,,"VALERIE MUÑOZ,CHARLIE KLINAKIS"
