raw_name,pdf_name,include,clean_geography,clean_level,clean_name,clean_description,sort_order,incumbent
"MEMBER OF THE STATE ASSEMBLY, 67th District","MEMBER OF THE STATE ASSEMBLY, 67th District",No,California,,"State Assembly, 67th District",,,SHARON QUIRK-SILVA
"MEMBER OF THE STATE ASSEMBLY, 69th District","MEMBER OF THE STATE ASSEMBLY, 69th District",No,California,,"State Assembly, 69th District",,,
"STATE SENATOR, 20th District","STATE SENATOR, 20th District",No,California,,"State Senator, 20th District",,,
"STATE SENATOR, 22nd District","STATE SENATOR, 22nd District",No,California,,"State Senator, 22nd District",,,SUSAN RUBIO
"STATE SENATOR, 24th District","STATE SENATOR, 24th District",No,California,,"State Senator, 24th District",,,BEN ALLEN
"STATE SENATOR, 26th District","STATE SENATOR, 26th District",No,California,,"State Senator, 26th District",,,MARIA ELENA DURAZO
"STATE SENATOR, 28th District","STATE SENATOR, 28th District",No,California,,"State Senator, 28th District",,,
"STATE SENATOR, 30th District","STATE SENATOR, 30th District",No,California,,"State Senator, 30th District",,,BOB ARCHULETA
"STATE SENATOR, 34th District","STATE SENATOR, 34th District",No,California,,"State Senator, 34th District",,,TOM UMBERG
"STATE SENATOR, 36th District","STATE SENATOR, 36th District",No,California,,"State Senator, 36th District",,,
TREASURER,TREASURER,No,California,,Treasurer,,,FIONA MA
"UNITED STATES REPRESENTATIVE, 23rd District","UNITED STATES REPRESENTATIVE, 23rd District",No,United States,,"U.S. Representative, 23rd District",,,JAY OBERNOLTE
"UNITED STATES REPRESENTATIVE, 26th District","UNITED STATES REPRESENTATIVE, 26th District",No,United States,,"U.S. Representative, 26th District",,,JULIA BROWNLEY
"UNITED STATES REPRESENTATIVE, 27th District","UNITED STATES REPRESENTATIVE, 27th District",No,United States,,"U.S. Representative, 27th District",,,MIKE GARCIA
"UNITED STATES REPRESENTATIVE, 28th District","UNITED STATES REPRESENTATIVE, 28th District",No,United States,,"U.S. Representative, 28th District",,,JUDY CHU
"UNITED STATES REPRESENTATIVE, 29th District","UNITED STATES REPRESENTATIVE, 29th District",No,United States,,"U.S. Representative, 29th District",,,TONY CARDENAS
"UNITED STATES REPRESENTATIVE, 30th District","UNITED STATES REPRESENTATIVE, 30th District",No,United States,,"U.S. Representative, 30th District",,,ADAM B. SCHIFF
"UNITED STATES REPRESENTATIVE, 31st District","UNITED STATES REPRESENTATIVE, 31st District",No,United States,,"U.S. Representative, 31st District",,,GRACE F. NAPOLITANO
"UNITED STATES REPRESENTATIVE, 32nd District","UNITED STATES REPRESENTATIVE, 32nd District",No,United States,,"U.S. Representative, 32nd District",,,BRAD SHERMAN
"UNITED STATES REPRESENTATIVE, 34th District","UNITED STATES REPRESENTATIVE, 34th District",No,United States,,"U.S. Representative, 34th District",,,JIMMY GOMEZ
"UNITED STATES REPRESENTATIVE, 35th District","UNITED STATES REPRESENTATIVE, 35th District",No,United States,,"U.S. Representative, 35th District",,,NORMA J. TORRES
"UNITED STATES REPRESENTATIVE, 36th District","UNITED STATES REPRESENTATIVE, 36th District",No,United States,,"U.S. Representative, 36th District",,,TED W. LIEU
"UNITED STATES REPRESENTATIVE, 37th District","UNITED STATES REPRESENTATIVE, 37th District",No,United States,,"U.S. Representative, 37th District",,,
"UNITED STATES REPRESENTATIVE, 38th District","UNITED STATES REPRESENTATIVE, 38th District",No,United States,,"U.S. Representative, 38th District",,,LINDA T. SÁNCHEZ
"UNITED STATES REPRESENTATIVE, 42nd District","UNITED STATES REPRESENTATIVE, 42nd District",No,United States,,"U.S. Representative, 42nd District",,,
"UNITED STATES REPRESENTATIVE, 43rd District","UNITED STATES REPRESENTATIVE, 43rd District",No,United States,,"U.S. Representative, 43rd District",,,MAXINE WATERS
"UNITED STATES REPRESENTATIVE, 44th District","UNITED STATES REPRESENTATIVE, 44th District",No,United States,,"U.S. Representative, 44th District",,,NANETTE DIAZ BARRAGAN
"UNITED STATES REPRESENTATIVE, 45th District","UNITED STATES REPRESENTATIVE, 45th District",No,United States,,"U.S. Representative, 45th District",,,MICHELLE STEEL
UNITED STATES SENATOR - Full Term,UNITED STATES SENATOR - Full Term,No,United States,,U.S. Senator,,,ALEX PADILLA
"UNITED STATES SENATOR - Short Term (Unexpired term ending January 3, 2023)",UNITED STATES SENATOR - Short Term,No,United States,,U.S. Senator,,,ALEX PADILLA
For Associate Justice of the Supreme Court - GOODWIN LIU,For Associate Justice of the Supreme Court - GOODWIN LIU,No,California,,,,,
For Associate Justice of the Supreme Court - JOSHUA P. GROBAN,For Associate Justice of the Supreme Court - JOSHUA P. GROBAN,No,California,,,,,
For Associate Justice of the Supreme Court - MARTIN J. JENKINS,For Associate Justice of the Supreme Court - MARTIN J. JENKINS,No,California,,,,,
"For Associate Justice, Court of Appeal, Second District, Division Eight - ELIZABETH ANNETTE GRIMES","For Associate Justice, Court of Appeal, Second District, Division Eight - ELIZABETH ANNETTE GRIMES",No,California,,,,,
"For Associate Justice, Court of Appeal, Second District, Division Eight - JOHN SHEPARD WILEY JR.","For Associate Justice, Court of Appeal, Second District, Division Eight - JOHN SHEPARD WILEY JR.",No,California,,,,,
"For Associate Justice, Court of Appeal, Second District, Division Five - LAMAR W. BAKER","For Associate Justice, Court of Appeal, Second District, Division Five - LAMAR W. BAKER",No,California,,,,,
"For Associate Justice, Court of Appeal, Second District, Division Four - AUDREY B. COLLINS","For Associate Justice, Court of Appeal, Second District, Division Four - AUDREY B. COLLINS",No,California,,,,,
"For Associate Justice, Court of Appeal, Second District, Division Four - BRIAN S. CURREY","For Associate Justice, Court of Appeal, Second District, Division Four - BRIAN S. CURREY",No,California,,,,,
"For Associate Justice, Court of Appeal, Second District, Division Seven - JOHN L. SEGAL","For Associate Justice, Court of Appeal, Second District, Division Seven - JOHN L. SEGAL",No,California,,,,,
"For Associate Justice, Court of Appeal, Second District, Division Six - HERNALDO J. BALTODANO","For Associate Justice, Court of Appeal, Second District, Division Six - HERNALDO J. BALTODANO",No,California,,,,,
"For Associate Justice, Court of Appeal, Second District, Division Three - LUIS A. LAVIN","For Associate Justice, Court of Appeal, Second District, Division Three - LUIS A. LAVIN",No,California,,,,,
"For Associate Justice, Court of Appeal, Second District, Division Two - JUDITH M. ASHMANN","For Associate Justice, Court of Appeal, Second District, Division Two - JUDITH M. ASHMANN",No,California,,,,,
"For Presiding Justice, Court of Appeal, Second District, Division Eight - MARIA E. STRATTON","For Presiding Justice, Court of Appeal, Second District, Division Eight - MARIA E. STRATTON",No,California,,,,,
"For Presiding Justice, Court of Appeal, Second District, Division Five - LAURENCE D. RUBIN","For Presiding Justice, Court of Appeal, Second District, Division Five - LAURENCE D. RUBIN",No,California,,,,,
"For Presiding Justice, Court of Appeal, Second District, Division One - FRANCES ROTHSCHILD","For Presiding Justice, Court of Appeal, Second District, Division One - FRANCES ROTHSCHILD",No,California,,,,,
